block_id,street,barrio,tipo_c,red_jerarq,n_lines_on,lines_on,n_lines_walk,lines_walk,buses_hour_walk,buses_hour_on,n_stops_walk
1,"CANTILO, INT.",Nuñez,CALLE,VÍA TRONCAL,5,028 057 059 152 194,4,015 028 029 117,143.5,19.7,0
2,"LUGONES, LEOPOLDO AV.",Nuñez,AVENIDA,VÍA TRONCAL,5,028 057 059 152 194,4,015 028 029 117,143.5,26.1,0
3,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,0,,4,015 028 029 117,153.5,0.0,1
4,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,4,015 028 029 117,4,015 028 029 117,153.5,106.4,2
5,"COLECTORA CANTILO, INT.",Nuñez,CALLE,VÍA LOCAL,0,,0,,0.0,0.0,0
6,LA CACHILA,Nuñez,CALLE,VÍA LOCAL,0,,4,015 028 029 117,153.5,0.0,0
7,VEDIA,Nuñez,CALLE,VÍA LOCAL,2,029 117,4,015 028 029 117,153.5,17.0,1
8,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,3,015 028 117,4,015 028 029 117,153.5,37.5,0
9,VEDIA,Nuñez,CALLE,VÍA LOCAL,2,029 117,4,015 028 029 117,153.5,17.0,0
10,11 DE SEPTIEMBRE DE 1888,Nuñez,CALLE,VÍA LOCAL,2,029 117,4,015 028 029 117,143.5,17.0,0
11,LA CACHILA,Nuñez,CALLE,VÍA LOCAL,0,,4,015 028 029 117,153.5,0.0,0
12,"CALZADILLA, SANTIAGO",Nuñez,CALLE,VÍA LOCAL,0,,4,015 028 029 117,125.1,0.0,0
13,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,0,,4,015 028 029 117,106.8,0.0,0
14,PICO,Nuñez,CALLE,VÍA LOCAL,0,,5,015 028 029 117 130,177.5,0.0,4
15,DEL LIBERTADOR AV.,Nuñez,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,4,015 028 029 117,5,015 028 029 117 130,177.5,106.4,5
16,"COLECTORA CANTILO, INT.",Nuñez,CALLE,VÍA LOCAL,5,028 057 059 152 194,0,,0.0,19.7,0
17,"CANTILO, INT.",Nuñez,CALLE,VÍA TRONCAL,5,028 057 059 152 194,0,,0.0,19.7,0
18,"PAZ, GRAL. AV.",Nuñez,AVENIDA,VÍA TRONCAL,0,,4,015 028 029 117,106.8,0.0,0
