block_id,street,barrio,tipo_c,traffic,n_lines_on,n_lines_walk,buses_hour_on,buses_hour_walk,score_n_lines_walk,score_buses_hour_walk
16519,CIUDADELA,Constitucion,PASAJE,0.0,0,35,0.0,1353.3,100.0,100.0
23707,"LEBENSOHN, MOISES",Nueva Pompeya,PASAJE,0.0,0,27,0.0,803.4,96.4,95.9
27474,"KAVANAGH, CORINA",Retiro,PASAJE,0.0,0,27,0.0,526.0,96.4,62.8
10643,CARABELAS,San Nicolas,PASAJE,0.0,0,25,0.0,740.7,89.3,88.4
23753,"LEBENSOHN, MOISES",Nueva Pompeya,PASAJE,0.0,0,25,0.0,750.8,89.3,89.6
19555,CASCO,Liniers,PASAJE,0.0,0,24,0.0,678.7,85.7,81.0
19589,BUERAS,Liniers,PASAJE,0.0,0,24,0.0,654.0,85.7,78.1
16984,MOMPOX,Constitucion,PASAJE,0.0,0,23,0.0,579.2,82.1,69.1
19274,CASCO,Liniers,PASAJE,0.0,0,23,0.0,576.4,82.1,68.8
16593,TIMBO,Flores,PASAJE,0.0,0,22,0.0,597.3,78.6,71.3
17068,"RICCIO, GUSTAVO",Flores,PASAJE,0.0,0,22,0.0,507.9,78.6,60.6
17129,SALALA,Flores,CALLE PEATONAL,0.0,0,22,0.0,628.1,78.6,75.0
17168,"ESPEJO, GERONIMO, GRAL.",Flores,CALLE PEATONAL,0.0,0,22,0.0,600.3,78.6,71.7
17266,PESCADORES,Flores,CALLE PEATONAL,0.0,0,22,0.0,615.8,78.6,73.5
17291,SALALA,Flores,CALLE PEATONAL,0.0,0,22,0.0,566.7,78.6,67.7
28200,"DEL CARRIL, HUGO",Flores,PASAJE PEATONAL,0.0,0,22,0.0,474.5,78.6,56.6
6909,PADRE CARLOS MUGICA,Retiro,CALLE,0.25,0,29,0.0,914.2,75.0,75.0
7511,BASAVILBASO,Retiro,CALLE,0.25,0,30,0.0,707.3,75.0,59.4
7705,BASAVILBASO,Retiro,CALLE,0.25,0,30,0.0,760.2,75.0,65.8
7794,CRUCERO GRAL. BELGRANO,Retiro,CALLE,0.25,0,30,0.0,779.2,75.0,68.0
7891,RECONQUISTA,Retiro,CALLE,0.25,0,28,0.0,733.0,75.0,62.5
7901,SAN MARTIN,Retiro,CALLE,0.25,1,28,12.0,734.8,75.0,62.7
8122,"ALVEAR, MARCELO T. DE",Retiro,CALLE,0.25,0,30,0.0,846.4,75.0,75.0
8123,RECONQUISTA,Retiro,CALLE,0.25,0,29,0.0,727.4,75.0,61.8
8139,"ALVEAR, MARCELO T. DE",Retiro,CALLE,0.25,0,33,0.0,766.6,75.0,66.5
8140,SAN MARTIN,Retiro,CALLE,0.25,0,30,0.0,661.3,75.0,54.0
8143,"ALVEAR, MARCELO T. DE",Retiro,CALLE,0.25,0,28,0.0,641.8,75.0,51.6
8350,"BUTTY, ENRIQUE, ING.",Retiro,CALLE,0.25,0,30,0.0,764.8,75.0,66.3
8399,PARAGUAY,Retiro,CALLE,0.25,1,31,47.6,831.1,75.0,57.4
8400,RECONQUISTA,Retiro,CALLE,0.25,0,28,0.0,749.4,75.0,64.5
8414,SAN MARTIN,Retiro,CALLE,0.25,0,29,0.0,687.5,75.0,57.1
8525,RECONQUISTA,Retiro,CALLE,0.25,0,30,0.0,739.1,75.0,63.2
8526,TRES SARGENTOS,Retiro,CALLE,0.25,0,29,0.0,714.3,75.0,60.3
8545,TRES SARGENTOS,Retiro,CALLE,0.25,0,31,0.0,851.1,75.0,75.0
