l_r_s,linea,coverage,gtfs_shape_id
015GIDA,15,0.9801,3100
028DVUELTA,28,0.9769,831
053AIDA,53,0.9364,2820
057HVUELTA,57,1.0000,3931
195GIDA,195,0.9912,12480
195FIDA,195,0.9948,12470
188DIDA,188,0.6667,1260
057NVUELTA,57,1.0000,17571
041AVUELTA,41,0.9623,3311
194DVUELTA,194,1.0000,4461
086BIDA,86,0.9535,2160
103DIDA,103,0.5588,6410
160CIDA,160,0.9535,2650
115BVUELTA,115,0.3571,681
008AVUELTA,8,0.7969,501
008AIDA,8,0.7784,500
057NIDA,57,1.0000,17580
086BVUELTA,86,0.9716,2161
086CVUELTA,86,0.9248,2171
086CIDA,86,0.9580,2170
160AVUELTA,160,1.0000,2631
160AIDA,160,1.0000,2630
160BIDA,160,1.0000,2640
160BVUELTA,160,1.0000,2641
015GVUELTA,15,0.9922,3101
015HIDA,15,0.9762,3180
021BVUELTA,21,0.7800,1621
151CVUELTA,151,1.0000,691
062CIDA,62,0.9000,43570
061DIDA,61,0.9375,43540
061CIDA,61,1.0000,43540
151DIDA,151,1.0000,690
151DVUELTA,151,0.8000,691
032AIDA,32,0.9796,1650
151CIDA,151,1.0000,690
047CVUELTA,47,0.9545,3331
151AIDA,151,1.0000,690
047CIDA,47,0.9592,3330
061BIDA,61,0.3974,43540
057EVUELTA,57,1.0000,17531
057FIDA,57,1.0000,17580
115CIDA,115,0.8545,680
088EIDA,88,1.0000,2890
041AIDA,41,0.9455,3310
015DIDA,15,0.9774,3130
021JVUELTA,21,0.7800,1621
042AIDA,42,1.0000,1010
015JIDA,15,0.9752,3100
021JIDA,21,0.7333,1540
070AIDA,70,0.9184,6860
042AVUELTA,42,1.0000,1011
070AVUELTA,70,1.0000,6861
062BIDA,62,0.4250,43570
194GVUELTA,194,0.9951,951
057AVUELTA,57,1.0000,3921
085BIDA,85,0.9740,2860
085BVUELTA,85,0.9467,2861
115BIDA,115,0.3243,680
115CVUELTA,115,0.6812,681
068BIDA,68,1.0000,4610
015AIDA,15,0.9801,3100
079AVUELTA,79,1.0000,3441
079BIDA,79,1.0000,3490
086AIDA,86,0.9008,2140
151AVUELTA,151,1.0000,691
151BVUELTA,151,0.5439,691
115AVUELTA,115,0.8200,681
047AVUELTA,47,0.9250,3331
042BVUELTA,42,1.0000,1011
060HVUELTA,60,1.0000,12971
079BVUELTA,79,0.9625,3491
088GVUELTA,88,0.9881,2931
088GIDA,88,1.0000,2950
096AVUELTA,96,0.9394,2241
160DVUELTA,160,0.9362,2661
160DIDA,160,0.9542,2660
159AVUELTA,159,1.0000,5791
042BIDA,42,1.0000,1010
176NNIDA,176,1.0000,18180
176CIDA,176,1.0000,18060
088NIDA,88,1.0000,19640
008GIDA,8,0.5165,500
028KIDA,28,1.0000,780
129BVUELTA,129,1.0000,43651
047AIDA,47,0.9189,3330
047BIDA,47,0.7812,3340
047BVUELTA,47,0.7051,3341
044AIDA,44,1.0000,640
015BIDA,15,0.9762,3180
023AIDA,23,0.7826,620
051CIDA,51,0.9864,3380
051GIDA,51,0.3000,3350
057PIDA,57,1.0000,6360
129FVUELTA,129,1.0000,43691
129FIDA,129,1.0000,43690
070BVUELTA,70,1.0000,2121
115AIDA,115,0.9756,680
129JIDA,129,1.0000,43730
129MVUELTA,129,1.0000,43761
129MIDA,129,0.9921,43760
129QIDA,129,1.0000,43810
070BIDA,70,0.8983,2120
195HIDA,195,0.9905,12480
195FVUELTA,195,1.0000,12471
195CVUELTA,195,0.9718,12431
042CIDA,42,0.6575,1010
044AVUELTA,44,0.9744,641
042CVUELTA,42,0.7195,1011
051DIDA,51,0.9808,3390
012AIDA,12,1.0000,630
033BIDA,33,1.0000,2740
051EVUELTA,51,1.0000,15831
051GVUELTA,51,0.4071,3351
071BIDA,71,0.8923,1120
106BIDA,106,0.2609,1130
106BVUELTA,106,0.4286,1131
106AIDA,106,0.9167,1130
045AIDA,45,1.0000,2030
063AVUELTA,63,0.8696,1341
008G-varianteIDA,8,0.5165,500
045AVUELTA,45,0.9082,2031
045BVUELTA,45,0.9831,3031
045BIDA,45,0.9796,3030
045CIDA,45,1.0000,3040
045CVUELTA,45,0.8784,2031
057PVUELTA,57,1.0000,6351
057QVUELTA,57,1.0000,17611
057QIDA,57,1.0000,17610
063AIDA,63,0.9600,1340
046AVUELTA,46,0.9059,2771
060CVUELTA,60,0.7600,12941
076AVUELTA,76,0.9444,651
076AIDA,76,0.9359,650
046AIDA,46,0.8971,2770
046BIDA,46,0.9565,2780
071BVUELTA,71,0.9508,1121
015FVUELTA,15,0.9524,3101
046BVUELTA,46,0.9529,2781
159MVUELTA,159,0.6000,5811
075AIDA,75,0.8281,1740
079AIDA,79,1.0000,3440
075AVUELTA,75,0.8493,1741
015EVUELTA,15,0.9762,3101
075BVUELTA,75,0.8382,1751
046CVUELTA,46,0.9221,37381
078AVUELTA,78,1.0000,1761
046CIDA,46,0.8983,37380
078AIDA,78,1.0000,1760
159MIDA,159,0.6579,5810
132AVUELTA,132,1.0000,911
078BIDA,78,1.0000,1780
132AIDA,132,0.7917,910
049AVUELTA,49,0.7069,2791
024CVUELTA,24,0.8462,17701
049AIDA,49,0.7119,2790
078BVUELTA,78,0.9796,1761
050AVUELTA,50,0.8462,491
078CIDA,78,0.8913,1770
050AIDA,50,0.8654,490
078CVUELTA,78,1.0000,1771
050BIDA,50,0.5800,490
050BVUELTA,50,0.6102,491
050CIDA,50,0.3333,490
050CVUELTA,50,0.2500,461
080CVUELTA,80,0.9730,3521
051BIDA,51,0.9623,3360
021BIDA,21,0.7333,1540
051BVUELTA,51,1.0000,3361
063BVUELTA,63,0.8676,1351
180DVUELTA,180,0.8571,6641
051CVUELTA,51,1.0000,3381
051EIDA,51,0.9762,15830
051FVUELTA,51,0.9722,3351
051FIDA,51,0.9636,3350
080CIDA,80,1.0000,3550
039FVUELTA,39,0.6410,3301
051HIDA,51,0.2909,3371
051HVUELTA,51,0.1923,3370
080DIDA,80,1.0000,15900
053BIDA,53,0.8085,2080
080DVUELTA,80,0.9730,15901
053BVUELTA,53,0.7552,2081
080EIDA,80,0.8947,15910
063BIDA,63,0.9623,1350
028GVUELTA,28,0.7719,801
064AVUELTA,64,0.9184,3401
026AIDA,26,0.9714,940
031BIDA,31,0.9423,16720
055AVUELTA,55,0.8919,2091
055AIDA,55,0.9178,2090
055BIDA,55,0.9189,17510
055BVUELTA,55,0.8933,17511
055CVUELTA,55,1.0000,17521
055CIDA,55,0.9444,17520
056AVUELTA,56,0.9640,1721
056AIDA,56,1.0000,1720
057CIDA,57,1.0000,19670
028GIDA,28,0.8750,800
057CVUELTA,57,1.0000,19671
064AIDA,64,0.9483,3410
057HIDA,57,1.0000,3930
057IVUELTA,57,1.0000,17561
057IIDA,57,1.0000,19670
057MVUELTA,57,1.0000,3911
057NNIDA,57,1.0000,3940
057NNVUELTA,57,1.0000,3941
057OIDA,57,1.0000,17590
057BIDA,57,1.0000,2060
057BVUELTA,57,1.0000,2061
057DVUELTA,57,1.0000,17561
057DIDA,57,1.0000,3920
057EIDA,57,1.0000,3930
057OVUELTA,57,1.0000,17591
065AVUELTA,65,0.9535,861
080EVUELTA,80,0.9211,3521
084AIDA,84,0.9583,710
084AVUELTA,84,0.9697,711
132BIDA,132,0.7963,930
057AIDA,57,1.0000,3920
057JIDA,57,1.0000,2060
057JVUELTA,57,1.0000,17601
057KIDA,57,1.0000,17540
057KVUELTA,57,1.0000,17541
132BVUELTA,132,1.0000,931
132CVUELTA,132,1.0000,921
060FIDA,60,0.9643,12950
060FVUELTA,60,0.9655,12951
060GVUELTA,60,0.8857,12831
060GIDA,60,0.8917,12830
015AVUELTA,15,0.9922,3101
160CVUELTA,160,0.9343,2651
188DVUELTA,188,0.7778,1261
087AIDA,87,0.9516,1790
088AIDA,88,0.9709,2890
088AVUELTA,88,0.9552,2891
088BIDA,88,0.9649,2900
088BVUELTA,88,0.9718,2901
088CIDA,88,1.0000,2910
088CVUELTA,88,0.9917,2911
088DIDA,88,1.0000,2920
088DVUELTA,88,1.0000,2921
092DVUELTA,92,0.9762,39401
091BVUELTA,91,0.9624,1841
133AVUELTA,133,0.9556,62711
133AIDA,133,0.9714,62740
103DVUELTA,103,1.0000,6411
132CIDA,132,0.6786,910
065AIDA,65,0.8814,860
065BIDA,65,0.9487,860
065BVUELTA,65,0.8049,861
008EVUELTA,8,0.1500,530
151BIDA,151,0.7119,690
085DVUELTA,85,0.9677,2861
179CVUELTA,179,0.8727,12321
176AVUELTA,176,0.9386,6541
176AIDA,176,0.9727,6540
179CIDA,179,0.8654,12320
179BVUELTA,179,0.8261,12311
179AIDA,179,0.8400,6600
179AVUELTA,179,0.8095,6601
053AVUELTA,53,0.8595,2821
057FVUELTA,57,1.0000,17571
057GVUELTA,57,1.0000,17581
057GIDA,57,1.0000,17580
057MIDA,57,1.0000,3910
085AVUELTA,85,0.9556,2131
085AIDA,85,0.9783,2130
195EIDA,195,1.0000,12430
195DIDA,195,1.0000,12450
086AVUELTA,86,0.9730,2141
159IVUELTA,159,0.7313,5771
176LVUELTA,176,0.9885,18151
176LIDA,176,1.0000,18060
176KIDA,176,0.9778,6540
176KVUELTA,176,0.9192,6541
194EVUELTA,194,0.9951,951
194JIDA,194,0.9758,980
194JVUELTA,194,0.9826,981
194IVUELTA,194,0.9809,961
194IIDA,194,0.9721,980
194HIDA,194,1.0000,950
194HVUELTA,194,1.0000,971
087BIDA,87,0.8824,1810
088EVUELTA,88,0.9892,2931
088FVUELTA,88,1.0000,2941
088FIDA,88,1.0000,2900
194DIDA,194,1.0000,4460
194CIDA,194,0.9917,4450
194CVUELTA,194,0.9922,4451
194BIDA,194,1.0000,950
194BVUELTA,194,1.0000,971
194AIDA,194,0.9944,950
194AVUELTA,194,0.9951,951
194GIDA,194,0.9944,950
057RVUELTA,57,1.0000,17621
057RIDA,57,1.0000,17620
075BIDA,75,0.8308,1750
060EIDA,60,0.9873,12890
008EIDA,8,0.2174,501
061AIDA,61,0.9778,43540
062AIDA,62,0.9524,43570
174AVUELTA,174,0.8033,36951
057LVUELTA,57,1.0000,6351
057LIDA,57,1.0000,6360
059AVUELTA,59,0.9583,2101
064BIDA,64,0.9483,3410
059AIDA,59,0.9765,2100
129AIDA,129,1.0000,43640
059BIDA,59,0.9759,2840
059BVUELTA,59,0.9589,2841
059CIDA,59,0.9655,2850
059CVUELTA,59,0.9434,2851
059DVUELTA,59,0.9571,15281
059DIDA,59,0.9780,15280
060AIDA,60,0.8372,12830
060AVUELTA,60,0.8108,12801
060BIDA,60,1.0000,12840
060BVUELTA,60,1.0000,12841
060DVUELTA,60,1.0000,12941
033AIDA,33,1.0000,2730
060EVUELTA,60,1.0000,12891
051AVUELTA,51,0.9813,3351
051AIDA,51,0.9775,3350
174AIDA,174,0.8448,36950
090AVUELTA,90,0.6604,24741
029CVUELTA,29,0.9020,3201
031AVUELTA,31,0.9365,16711
129DIDA,129,1.0000,43670
129DVUELTA,129,1.0000,43671
129EVUELTA,129,1.0000,43681
129EIDA,129,1.0000,43680
129IVUELTA,129,1.0000,43721
129IIDA,129,1.0000,43720
129NVUELTA,129,0.9360,43721
129OIDA,129,1.0000,43790
129OVUELTA,129,1.0000,43791
129QVUELTA,129,1.0000,43811
195EVUELTA,195,1.0000,12461
195DVUELTA,195,0.9748,12451
051DVUELTA,51,1.0000,3391
064BVUELTA,64,0.9362,3411
002AIDA,2,0.9429,3070
031BVUELTA,31,0.9683,16721
031CIDA,31,0.9388,30380
031CVUELTA,31,0.9298,30381
032AVUELTA,32,1.0000,1651
034AIDA,34,0.7500,17421
034BVUELTA,34,0.8929,17421
195CIDA,195,1.0000,12430
195BIDA,195,1.0000,12430
195BVUELTA,195,0.9726,12431
195AIDA,195,1.0000,12420
195AVUELTA,195,0.9675,12421
007AIDA,7,1.0000,1000
001AVUELTA,1,0.8197,1511
007AVUELTA,7,0.9107,1001
001AIDA,1,0.8101,1510
002AVUELTA,2,0.9333,3071
002BVUELTA,2,0.8727,3081
008CIDA,8,0.9677,530
002BIDA,2,0.8833,3080
008CVUELTA,8,0.8056,501
004AIDA,4,0.8966,2700
008FIDA,8,1.0000,510
004AVUELTA,4,0.8980,2701
008F-varianteIDA,8,0.7679,510
004BVUELTA,4,0.7714,2721
008F-varianteVUELTA,8,0.8043,511
004BIDA,4,0.7973,2720
012BVUELTA,12,1.0000,4521
007BVUELTA,7,0.7808,4531
012BIDA,12,1.0000,4520
007BIDA,7,0.7857,4530
012CIDA,12,0.9500,630
