block_id,lines
15,015 028 029 117
21,117
24,015 028 029 117
29,060
32,028 117
36,015 028 029 117
37,060
44,060
46,117
47,028 117
52,015 028 029 117
58,060
64,028 130
65,028
70,015 028 029 130
74,019 021 059 060 068 071 133 151 152 161 168 184 194
75,130
78,019
83,021 060 071 151
88,130
90,015 028 029 130
91,021 060 151
93,071 151
97,059 060 068 133 152 161 168 184
100,160
103,130
104,019 130 151
107,130
110,151
111,021 060
116,071 151
119,019 071 151
121,021 060
122,015 028 029 130
123,130
125,151
128,015 028 029 130
130,059 060 068 130 133 152 161 168 184
131,071 151
132,071 151
139,021 060
141,019 071 151
151,071 151
152,151
153,130
158,151
159,021 028 060 117
163,071 151
165,015 028 029 130
166,071
172,059 060 068 130 133 152 161 168 184
175,071 151
176,151
177,130
182,071
188,019
189,021 028 060 117
195,015 028 029 130
200,071
201,151
208,071
211,019
212,033 037 045 160 166
213,130
214,059 060 068 130 133 152 161 168 184
218,021 028 060 117
219,071
225,019
226,151
229,130
231,015 028 029 130
232,071
235,033 037 045 160 166
236,071
239,019
245,015 021 028 060 117
246,019 151
247,151
252,071
254,019
255,019
261,059 060 068 133 152 161 168 184
262,071
265,019
269,015 028 029 130
273,130
274,015 021 028 060 117
275,019
276,019 151
279,071
291,071
293,019
294,151
297,015 021 028 060 117
303,059 060 068 133 152 161 168 184
304,071
310,019
311,019
313,130
315,015 028 029 130
316,071
318,033 037 045 160 166
320,151
323,015 021 028 060 117
327,019
334,071
336,130
343,151
344,071
346,151
348,059 060 068 133 152 161 168 184
353,019
357,015 028 029 130
362,071
363,071
364,130
365,130
368,151
371,019
376,151
385,071
387,019
391,130
393,151
394,130
397,071
398,015 028 029 130
400,059 060 068 133 152 161 168 184
416,071
421,042 107
425,019
426,042 107
427,130
430,151
433,042 107
436,071
440,130
444,042 107
446,019
448,059 060 068 133 152 161 168 184
449,015 028 029 130
451,042 107
452,071
453,071
459,151
460,042 107
466,042 107
469,130
471,071
472,071
477,019
482,028 107
489,151
491,015 028 029 130
499,057 059 060 068 133 152 161 168 184 194
501,130
503,130
504,130
505,107
509,042 107
511,019
514,042 107
516,071
523,076
527,151
528,151
532,042
538,071
540,130
542,130
544,107
546,019
547,019
549,076
555,015 028 029 130
563,059 060 068 133 152 161 168 184
567,151
572,071
576,028 107
578,071
580,107
582,019
584,130
587,130
590,076
599,059 060 068 133 152 161 168 184
601,151
612,107
616,071
618,107
620,015 028 029 130
628,071
630,019
632,076
646,130
654,029 130
655,057 059 060 068 133 152 161 168 184 194
662,107
663,107
673,107
677,071
678,071
684,019
685,076
686,076
689,130
691,107
705,107
711,107
712,015 029 130
715,151
721,019
725,015 029 107 130
728,076
729,076
734,029 130
744,071
746,151
747,151
748,107
749,076
752,071 130
753,151
757,029 059 060 068 133 152 161 168 184
760,029
762,107
764,130
772,071
773,029
781,076
782,076
790,071 130
793,029 059 060 068 133 152 161 168 184
796,151
797,015 029 107 130
798,029 130
801,019
811,071
814,110
815,029
824,019
825,019
826,130
831,076
832,107
833,107
835,028 117
840,071
841,029
843,033 037 045 160 166
844,076
845,076
846,110
847,071 110 130
850,029 059 060 068 130 133 152 161 168 184
852,151
853,107
856,029 130
869,019
871,042 107
875,110
879,130
882,076
885,130
892,071 130
895,029 059 060 068 130 133 152 161 168 184
896,033 037 045 160 166
899,029 093
901,071
908,029
910,029 130
911,151
912,107
918,019
921,076
922,076
923,107
925,076
926,110
927,110
930,107
931,071
932,019
933,029 130
935,029 093 110
936,029 093
939,029
943,107
944,130
945,029 059 060 068 130 133 152 161 168 184
948,110
949,071 110 130
953,107
954,107
956,107
957,015 029 107 130
959,076
960,093
961,029
965,042 107
967,019
968,033 037 045 160 166
971,029 110
972,029 093 110
973,029 130 151
974,151
975,076
976,076
985,071
986,071 130
987,071
990,029 059 060 068 133 152 161 168 184
991,029 130
993,029 093 110
995,107
996,107
999,019
1000,071 076
1001,076
1002,110
1003,029 110
1005,019
1012,076
1013,076
1015,071
1016,071
1017,076 193
1020,071
1022,110
1024,071
1025,093
1029,029 110
1030,029 093 110
1031,029 130
1035,033 037 045 160 166
